gamehexid,season,season_type,game_date,game_matchup,home_team,home_team_id,away_team,away_team_id,game_line,over_under,actual_spread,spread_difference,spread_covered,home_ft_pct_L10,total_min,home_win,away_win,home_points,away_points,,3pfgPCT_x_WL,home_fg_made,home_fg_att,home_fg_pct,home_fg3_made,home_fg3_att,home_fg3_pct,home_ft_made,home_ft_att,home_ft_pct,home_off_reb,home_def_reb,home_rebounds,home_assists,home_steals,home_blocks,home_turnovers,home_personal_fouls,home_prev_3,home_prev_5_home,home_prev_10,away_fg_made,away_fg_att,away_fg_pct,away_fg3_made,away_fg3_att,away_fg3_pct,away_ft_made,away_ft_att,d,away_off_reb,away_def_reb,away_rebounds,away_assists,away_steals,away_blocks,away_turnovers,away_personal_fouls,over_under,home_wins,home_wins_at_home,home_last_ten_wins,home_last_five_wins,home_last_three_wins,home_points_per_game,home_points_allowed_per_game,home_ft_pct_on_season,home_fg_pct_on_season,home_rebounds_on_season,home_personal_fouls_on_season,home_h2h_wins,home_last_ten_ATS,home_last_five_ATS,home_last_three_ATS,away_wins,away_wins_at_away,away_last_ten_wins,away_last_five_wins,away_last_three_wins,away_points_per_game,away_points_allowed_per_game,away_ft_pct_on_season,away_fg_pct_on_season,away_rebounds_on_season,away_personal_fouls_on_season,away_h2h_wins,away_last_ten_ATS,away_last_five_ATS,away_last_three_ATS
41544c323031352d31302d3330,2015-16,1,10/30/15,CHA @ ATL,ATL,1610612737,CHA,1610612766,-6,196,-3,3,0,0.8,240,1,0,97,94,,0.321,40,93,0.43,9,28,0.321,21,29,0.724,14,29,43,26,14,3,15,19,1,1,1,40,82,0.488,15,36,0.417,21,27,0.778,14,35,49,23,8,4,21,26,1,1,1,1,1,0,106.2,112,0.64,0.45154185,222,127,0,2,2,1,2,0,2,2,2,99,109,0.713286713,0.411764706,209,104,0,2,2,2
424f53323031352d31302d3330,2015-16,1,10/30/15,TOR @ BOS,BOS,1610612738,TOR,1610612761,-2.5,202.5,10,12.5,0,0.962962963,240,0,1,103,113,,0,39,76,0.513,4,17,0.235,32,46,0.696,6,35,41,25,4,9,17,22,1,1,1,43,101,0.426,6,18,0.333,17,25,0.68,19,30,49,20,9,2,13,34,1,2,1,2,2,2,107.5,96,0.640625,0.479041916,95,36,1,1,1,1,1,0,1,1,1,118,112.5,0.6875,0.476923077,105,50,0,1,1,1
434c45323031352d31302d3330,2015-16,1,10/30/15,MIA @ CLE,CLE,1610612739,MIA,1610612748,-6,196,-10,4,1,0.857142857,240,1,0,102,92,,0.393,39,83,0.47,11,28,0.393,22,34,0.647,10,40,50,22,10,1,16,19,2,3,6,33,83,0.398,7,23,0.304,18,26,0.692,10,30,40,18,8,4,14,24,0,28,16,3,1,1,101.4736842,100.8596491,0.645027624,0.43507014,2648,1107,2,5,1,1,8,3,1,0,0,96.41818182,106.5090909,0.681818182,0.439297475,2292,1212,0,7,3,1
44454e323031352d31302d3330,2015-16,1,10/30/15,MIN @ DEN,DEN,1610612743,MIN,1610612750,-4,210.5,17,21,0,0.75,240,0,1,78,95,,0,37,89,0.416,12,33,0.364,20,32,0.625,11,30,41,18,9,6,11,25,2,3,6,41,86,0.477,4,20,0.2,25,29,0.862,11,40,51,23,5,2,15,20,1,27,16,3,1,0,101.4909091,100.9090909,0.64516129,0.434971998,2564,1067,0,6,3,1,21,6,5,3,2,102.462963,105.2407407,0.774851317,0.44774833,2289,1118,1,5,3,2
444554323031352d31302d3330,2015-16,1,10/30/15,CHI @ DET,DET,1610612765,CHI,1610612741,3,200.5,-4,7,1,0.735294118,265,1,0,98,94,,0.522,41,71,0.577,12,23,0.522,20,27,0.741,7,31,38,28,2,1,10,20,3,4,6,39,80,0.488,10,21,0.476,13,18,0.722,8,24,32,21,5,1,5,24,1,30,17,4,3,3,101.6440678,100.5254237,0.645418327,0.43538074,2744,1144,0,5,2,1,39,18,7,4,3,102.3508772,97.57894737,0.78298153,0.449384848,2463,1114,2,6,3,1
484f55323031352d31302d3330,2015-16,1,10/30/15,GSW @ HOU,HOU,1610612745,GS,1610612744,1.5,215,20,18.5,0,0.653846154,240,0,1,92,112,,0,39,91,0.429,5,21,0.238,27,38,0.711,21,30,51,15,9,2,10,19,1,3,7,39,82,0.476,7,19,0.368,12,17,0.706,9,29,38,24,6,7,16,27,1,24,14,5,2,1,101.7111111,100.1111111,0.645470383,0.43296371,2136,857,1,5,2,2,7,3,4,3,2,95.2,105.0222222,0.673631841,0.434337998,1895,979,0,5,2,1
4d494c323031352d31302d3330,2015-16,1,10/30/15,WAS @ MIL,MIL,1610612749,WSH,1610612764,1.5,197,5,3.5,0,0.903225806,240,0,1,113,118,,0,38,88,0.432,10,27,0.37,6,7,0.857,7,35,42,21,5,8,14,19,1,3,6,39,83,0.47,6,19,0.316,19,24,0.792,8,39,47,25,10,3,12,13,0,27,16,4,2,1,101.9622642,100.9245283,0.645514223,0.435175231,2481,1028,0,6,4,2,21,10,5,3,2,100.4339623,103.6415094,0.766513057,0.43567447,2359,1098,1,4,3,2
4f524c323031352d31302d3330,2015-16,1,10/30/15,OKC @ ORL,ORL,1610612753,OKC,1610612760,8,208.5,3,5,1,0.666666667,290,0,1,136,139,,0,44,84,0.524,12,22,0.545,23,28,0.821,10,35,45,22,7,1,12,23,2,3,6,35,78,0.449,11,31,0.355,22,23,0.957,3,28,31,18,8,0,13,23,1,31,18,4,3,1,101.3064516,100.5,0.646721833,0.435949648,2866,1198,1,5,4,3,33,14,7,3,1,103.8548387,102.5322581,0.735573411,0.450206689,2839,1363,0,4,1,1
504858323031352d31302d3330,2015-16,1,10/30/15,POR @ PHX,PHX,1610612756,POR,1610612757,-4.5,206.5,-18,13.5,1,0.636363636,240,1,0,110,92,,0.286,36,80,0.45,8,28,0.286,9,17,0.529,11,28,39,22,7,2,16,18,2,3,7,39,70,0.557,11,20,0.55,14,17,0.824,2,34,36,22,11,2,15,22,0,27,16,4,2,1,102.2115385,100.8846154,0.646971935,0.434915773,2442,1010,0,7,4,3,34,16,9,4,2,101.6,97.16,0.784150943,0.445237509,2175,953,1,7,2,2
5341323031352d31302d3330,2015-16,1,10/30/15,BKN @ SAS,SA,1610612759,BKN,1610612751,-14,203.5,-27,13,1,1,240,1,0,102,75,,0.304,40,84,0.476,7,23,0.304,19,26,0.731,9,30,39,20,5,4,9,24,2,3,7,39,83,0.47,9,23,0.391,27,29,0.931,10,37,47,20,4,1,7,25,1,25,15,5,3,2,101.8913043,100.0434783,0.647554806,0.432865238,2187,876,1,6,3,2,32,14,7,4,2,101.5681818,95.93181818,0.721712538,0.453180453,1971,887,0,4,2,1
